name,studio,theme,tags,source,rating,year,demographic,status,eps,eps_avg_duration_in_min,rated_by
Shingeki no Kyojin,Wit Studio,"Gore, Military, Survival","Action, Drama",Manga,8.53,2013,Shounen,Finished,25.0,24.0,3500000
Death Note,Madhouse,Psychological,"Supernatural, Suspense",Manga,8.62,2006,Shounen,Finished,37.0,23.0,3500000
Fullmetal Alchemist: Brotherhood,Bones,Military,"Action, Adventure, Drama, Fantasy",Manga,9.13,2009,Shounen,Finished,64.0,24.0,3000000
Boku no Hero Academia,Bones,"School, Super Power",Action,Manga,7.92,2016,Shounen,Finished,13.0,24.0,2700000
Naruto,Pierrot,Martial Arts,"Action, Adventure, Fantasy",Manga,7.97,2002,Shounen,Finished,220.0,23.0,2500000
Kimetsu no Yaiba,ufotable,Historical,"Action, Fantasy",Manga,8.54,2019,Shounen,Finished,26.0,23.0,2500000
Hunter x Hunter (2011),Madhouse,Shounen,"Action, Adventure, Fantasy",Manga,9.04,2011,Shounen,Finished,148.0,23.0,2500000
Shingeki no Kyojin Season 2,Wit Studio,"Gore, Military, Survival","Action, Drama",Manga,8.5,2017,Shounen,Finished,12.0,24.0,2400000
Boku no Hero Academia 2nd Season,Bones,"School, Super Power",Action,Manga,8.14,2017,Shounen,Finished,25.0,23.0,2300000
Naruto: Shippuuden,Pierrot,Martial Arts,"Action, Adventure, Fantasy",Manga,8.24,2007,Shounen,Finished,500.0,23.0,2200000
Shingeki no Kyojin Season 3,Wit Studio,"Gore, Military, Survival","Action, Drama",Manga,8.62,2018,Shounen,Finished,12.0,23.0,2000000
Shigatsu wa Kimi no Uso,A-1 Pictures,"Music, School","Drama, Romance",Manga,8.66,2014,Shounen,Finished,22.0,22.0,2000000
Noragami,Bones,Mythology,"Action, Fantasy",Manga,7.96,2014,Shounen,Finished,12.0,24.0,2000000
Jujutsu Kaisen,MAPPA,School,"Action, Fantasy",Manga,8.67,2020,Shounen,Finished,24.0,23.0,2000000
One Piece,Toei Animation,Shounen,"Action, Adventure, Fantasy",Manga,8.66,1999,Shounen,Airing,13.0,24.0,2000000
Boku no Hero Academia 3rd Season,Bones,"School, Super Power",Action,Manga,8.07,2018,Shounen,Finished,25.0,23.0,1900000
Shingeki no Kyojin Season 3 Part 2,Wit Studio,"Gore, Military, Survival","Action, Drama",Manga,9.07,2019,Shounen,Finished,10.0,23.0,1900000
Akame ga Kill!,White Fox,"Gore, Super Power","Action, Fantasy",Manga,7.47,2014,Shounen,Finished,24.0,23.0,1900000
Nanatsu no Taizai,A-1 Pictures,Shounen,"Action, Adventure, Fantasy",Manga,7.7,2014,Shounen,Finished,24.0,24.0,1900000
Mirai Nikki (TV),asread.,"Gore, High Stakes Game, Psychological, Survival","Action, Supernatural, Suspense",Manga,7.44,2011,Shounen,Finished,26.0,23.0,1900000
Ansatsu Kyoushitsu,Lerche,School,"Action, Comedy",Manga,8.1,2015,Shounen,Finished,22.0,23.0,1800000
Ao no Exorcist,A-1 Pictures,"Mythology, School","Action, Fantasy",Manga,7.51,2011,Shounen,Finished,25.0,24.0,1800000
